id,formula,elements,volume,a,b,c,alpha,beta,gamma,spacegroup,point_group,crystal_system,band_gap,energy_above_hull,is_stable,mp_id,mp_formula,is_polar
25,Ba0.12O0.62Ti0.25,"Ba,Ti,O",308.4075062318844,8.702463265046454,8.702463265046454,9.496415263801762,77.31142578218221,77.31142578218221,26.11415365130917,5.0,2,,2.1471,,,mp-555966,,True
42,Bi0.21O0.63Ti0.16,"Ti,Bi,O",486.6109923767653,5.40610869,5.446904195739388,16.746222578591706,80.68139684402742,90.0,90.0,7.0,m,,2.3715,,,mp-723064,,True
80,O0.62P0.12Ti0.12Tl0.12,"Ti,Tl,P,O",922.3816574007052,6.573565,10.698084,13.116069,90.0,90.0,90.0,33.0,mm2,,2.748,,,mp-6706,,True
97,Ba0.20O0.60Ti0.20,"Ba,Ti,O",65.6356490658401,4.033806554507884,4.033805892924775,4.033806146413204,89.83638279997638,89.8363695774206,89.83638729523724,160.0,3m,,2.5086999999999993,,,mp-5020,,True
104,Ba0.20O0.60Ti0.20,"Ba,Ti,O",65.57310741671338,3.98333387,4.0573426446750185,4.0573423579991434,90.25451681616497,90.0,90.0,38.0,mm2,,2.2929999999999993,,,mp-5777,,True
146,Bi0.21O0.63Ti0.16,"Ti,Bi,O",488.3055965328999,16.70806185417057,16.70806185417057,5.42117964,90.0,90.0,161.176104972623,41.0,mm2,,2.4382,,,mp-23427,,True
187,Cs2Ti(Si2O5)3,"Cs,Ti,Si,O",710.5671549202337,7.493713799099983,7.493713765109819,15.189127022263852,76.51629493710274,76.51629490858106,59.878622489528254,,,,3.5085,,,mp-6748,,
213,Rb2Ti(WO4)3,"Rb,Ti,W,O",281.3426265803944,7.322160647663297,7.322160647663297,7.32355424765769,60.57940289392031,60.57940289392031,60.611504720657614,,,,2.8232,,,mp-1219784,,
226,K2Ti(SiO3)3,"K,Ti,Si,O",448.33171946297864,7.715751362363746,7.715751362363746,7.715751419506723,82.44123788657207,82.44123788657207,82.44123853571472,,,,3.3817999999999993,,,mp-556719,,
285,TiNb(PO4)3,"Ti,Nb,P,O",488.3853413335765,8.949246398579268,8.949246398579268,8.949245672711415,58.411668437024915,58.411668437024915,58.41167222733784,,,,2.7411,,,mp-1216943,,
333,BaTi(IO3)6,"Ba,Ti,I,O",437.27666328889603,7.668579513429655,7.668579513429655,7.668579635333325,97.77107790654586,97.77107790654586,97.77107195675417,,,,2.7339,,,mp-1227524,,
369,TiBi2O5,"Ti,Bi,O",244.070745068559,8.400904872745194,8.400904872745194,5.51813373,90.0,90.0,141.19168905360155,,,,2.735999999999999,,,mp-752676,,
434,Ti3P6WO24,"Ti,P,W,O",456.22949870868365,8.765537699010586,8.765537699877674,8.765537337206814,58.16711349760225,58.167113552054374,58.16711367441239,,,,2.5297,,,mp-775198,,
458,TiNb6Tl2O18,"Ti,Nb,Tl,O",425.09875048078055,7.69205961225139,7.69205961225139,8.300390797240873,89.86479702969623,89.86479702969623,59.949091893837966,,,,2.5982000000000003,,,mp-1216944,,
474,TiI2O7,"Ti,I,O",298.9699139845672,6.532577672728316,6.532577672728316,7.20102523,90.0,90.0,103.37161729953378,,,,2.536299999999999,,,mp-1205304,,
562,Ta6TiTl2O18,"Ta,Ti,Tl,O",420.0184255631539,7.618309707642043,7.618309707642043,8.347785645758101,89.84523816136942,89.84523816136942,60.103337544187426,,,,2.9431000000000003,,,mp-1218099,,
580,Ti(SO4)2,"Ti,S,O",439.76459538834644,8.766919657469057,8.766918911716724,8.766916925957956,56.66527962682549,56.665334690436154,56.66534735855834,,,,2.2283,,,mp-775149,,
626,Ba2Ti(GeO4)2,"Ba,Ti,Ge,O",429.61587921393345,8.848398,8.848398,5.487203,90.0,90.0,90.0,,,,3.7129000000000003,,,mp-6289,,
633,Sc2TiO5,"Sc,Ti,O",200.9679973897723,3.85441592,5.434489430824212,10.26110277,90.0,90.0,110.77048744627018,,,,3.1323,,,mp-753401,,
634,Ba2Ti(SiO4)2,"Ba,Ti,Si,O",384.01204802386815,8.56085271,8.56085271,5.23975282,90.0,90.0,90.0,,,,3.7274000000000003,,,mp-6081,,
